layer,feature_set,target,target_label,scope,auc,auc_lo,auc_hi,n,n_games
21,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.6335782989300768,0.5441619001079858,0.7202766198241658,525,144
21,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.7735595703125,0.7039281436509514,0.8362079680533693,576,144
21,router_gate,literal_J_choice,literal J/P choice control,pure,0.9999854684956987,0.9999116502108688,1.0,525,144
21,router_gate,stimulus_control,strategically inert payoff control,all,0.6025511188271604,0.5517922094253455,0.6571675773225095,576,144
21,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.6306069958847736,0.5703489814827188,0.6983043873367677,576,144
21,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.35772181995028646,0.2609893393996164,0.4664137373135613,525,144
21,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.64599609375,0.5560400760466002,0.7521966099085411,576,144
21,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.6258428272494768,0.5755313751933511,0.6758183129950115,525,144
21,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.39695457175925924,0.3285938412497731,0.466062737807694,576,144
21,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.5876736111111112,0.5239651323396534,0.6536846553299508,576,144
21,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.34010591159623904,0.2380452142978403,0.45845088529482936,525,144
21,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.6370849609375,0.5499970291146762,0.7303969575619893,576,144
21,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.5344614624505928,0.48543608086900597,0.5841933238727626,525,144
21,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.39943817515432095,0.33249961788747956,0.46362666398357755,576,144
21,residual,incentive_sign_q05,objective incentive sign,all,0.9150334362139918,0.8790308906268662,0.9510751903841496,576,144
21,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.8147087431103425,0.7496187709459413,0.8745158450441836,525,144
21,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.798370361328125,0.7442120202125684,0.8545221170205809,576,144
21,residual,literal_J_choice,literal J/P choice control,pure,1.0,0.9999999999999999,1.0,525,144
21,residual,stimulus_control,strategically inert payoff control,all,0.7190272955246914,0.6673068779747393,0.7704010555130233,576,144
22,router_gate,incentive_sign_q05,objective incentive sign,all,0.8425925925925926,0.7919762750270563,0.8875423747444623,576,144
22,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.6552469469361288,0.523195403390696,0.7680097771073735,525,144
22,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.752349853515625,0.6630511726660547,0.8339507264084198,576,144
22,router_gate,literal_J_choice,literal J/P choice control,pure,0.9998546849569867,0.9994870025088307,1.0,525,144
22,router_gate,stimulus_control,strategically inert payoff control,all,0.675853587962963,0.6227481706726111,0.7281750967659073,576,144
22,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.6400334362139918,0.5813653700614837,0.7006759132975305,576,144
22,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.31379012212255486,0.21878439545187725,0.4141249249541343,525,144
22,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.65264892578125,0.5389577161116779,0.7567708919946742,576,144
22,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.53596547314578,0.48292157334024727,0.5874886286003255,525,144
22,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.5105733989197532,0.4560314906196493,0.5658006549456202,576,144
22,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.6319122942386832,0.575704581409804,0.6948772364179009,576,144
22,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.3611531395223171,0.2588731922254388,0.46235247634667737,525,144
22,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.6603240966796875,0.5478237555539354,0.7620945785815646,576,144
22,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.48210445245291794,0.4299324414892954,0.5296794303850121,525,144
22,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.4963951581790123,0.4397659519962509,0.5489321395273002,576,144
22,residual,incentive_sign_q05,objective incentive sign,all,0.9074202674897119,0.8698594939095459,0.9435265178982749,576,144
22,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.7564573651788609,0.6635534659787987,0.8510464782007593,525,144
22,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.801422119140625,0.7510087632940405,0.8572549737266101,576,144
22,residual,literal_J_choice,literal J/P choice control,pure,1.0,0.9999999999999999,1.0,525,144
22,residual,stimulus_control,strategically inert payoff control,all,0.7222222222222223,0.6667619675010978,0.7729350564758478,576,144
24,router_gate,incentive_sign_q05,objective incentive sign,all,0.8516589506172839,0.8032430351086355,0.8930761546516754,576,144
24,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.651194207284124,0.5764514887063655,0.7214403998778999,525,144
24,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.749237060546875,0.6866109110802594,0.8104994397873292,576,144
24,router_gate,literal_J_choice,literal J/P choice control,pure,1.0,0.9999999999999999,1.0,525,144
24,router_gate,stimulus_control,strategically inert payoff control,all,0.6830753279320987,0.6356007675827412,0.7325241615313229,576,144
24,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.6470871913580247,0.5931591348515923,0.7008425602175602,576,144
24,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.45925645736517884,0.34926690373118946,0.5753677194308865,525,144
24,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.64752197265625,0.5410458386568673,0.7493940890685116,576,144
24,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.7831608928156243,0.7405526394168294,0.8221331857946638,525,144
24,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.47685185185185186,0.4142807173686894,0.5384355774464009,576,144
24,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.6172582304526749,0.5570663146134732,0.6817892651135797,576,144
24,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.40648978709607697,0.3076853028906085,0.510781633395004,525,144
