model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen_instruct,h1_dinc,79,main,AsNc,OD2,0.0,0.9384833333333333,0.48369999999999996,0.07233333333333329,0.03149999999999998,0.8333333333333333,0.5,1
qwen_instruct,h1_dinc,79,main,AsPc,OD2,0.0,1.3284416666666663,0.6514249999999999,0.42402500000000004,0.19407500000000003,0.8055555555555555,0.3333333333333333,1
qwen_instruct,h1_dinc,79,main,AsPd,OD1,-0.0,1.583708333333333,0.765675,-0.08749166666666662,0.05309999999999998,0.0,0.0,1
qwen_instruct,h1_dinc,79,main,AsSh,CO1,0.0,1.3756499999999998,0.68635,0.10409999999999997,0.0464,0.5555555555555555,0.3333333333333333,1
qwen_instruct,h1_dinc,79,main,BaAs,MP,0.0,1.2539416666666665,0.6222,-0.333525,0.15760000000000002,-1.3611111111111112,0.6666666666666666,1
qwen_instruct,h1_dinc,79,main,BaBa,CO2,0.0,1.243758333333333,0.615575,-0.45240833333333347,0.28125,-1.5,0.75,1
qwen_instruct,h1_dinc,79,main,BaCh,CO2,0.0,1.415225,0.690775,-0.4067083333333332,0.239625,-1.3888888888888888,0.5833333333333333,1
qwen_instruct,h1_dinc,79,main,BaCm,OD1,0.0,1.0691916666666663,0.53645,-0.447125,0.29505000000000003,-0.9999999999999999,0.5,1
qwen_instruct,h1_dinc,79,main,BaCo,MP,0.0,1.1023583333333333,0.5497500000000001,-0.540025,0.24775,-1.4166666666666665,0.75,1
qwen_instruct,h1_dinc,79,main,BaDl,OD1,0.0,1.2373416666666666,0.6039749999999999,-0.5556916666666666,0.24909999999999996,-1.666666666666667,0.75,1
qwen_instruct,h1_dinc,79,main,BaHa,OD2,-0.0,1.270383333333333,0.634525,0.42249999999999993,0.220975,1.4166666666666665,0.75,1
qwen_instruct,h1_dinc,79,main,BaHr,CO1,0.0,0.9776749999999998,0.493575,-0.4325249999999999,0.26854999999999996,-1.083333333333333,0.5,1
qwen_instruct,h1_dinc,79,main,BaNc,OD2,-0.0,1.2018083333333331,0.6012,0.18034166666666668,0.0834,0.8333333333333333,0.5,1
qwen_instruct,h1_dinc,79,main,BaPc,OD2,-0.0,1.2217583333333333,0.605375,0.5150083333333333,0.269525,1.583333333333333,0.75,1
qwen_instruct,h1_dinc,79,main,BaPd,OD1,0.0,1.3157499999999998,0.6486999999999999,-0.39034999999999986,0.25495,-1.222222222222222,0.5833333333333333,1
qwen_instruct,h1_dinc,79,main,BaSh,MP,0.0,1.08605,0.552975,-0.08063333333333336,0.05387499999999999,-0.8333333333333333,0.5,1
qwen_instruct,h1_dinc,79,main,ChAs,MP,0.0,1.3207666666666666,0.658575,-0.27633333333333326,0.19572499999999998,-1.1388888888888888,0.5833333333333333,1
qwen_instruct,h1_dinc,79,main,ChBa,CO2,0.0,0.9602833333333335,0.47362499999999996,-0.6399499999999999,0.322925,-1.083333333333333,0.5,1
